building,country,city,height_m,height_ft,height_px,floors,completed,image,wiki
Burj Khalifa,United Arab Emirates,Dubai,828,2717,276,163,2010,1.jpg,https://en.wikipedia.org/wiki/Burj_Khalifa
International Commerce Centre,China,Hong Kong,484,1588,161,108,2010,6.jpg,https://en.wikipedia.org/wiki/International_Commerce_Centre
KK100,China,Shenzhen,442,1449,147,100,2011,10.jpg, https://en.wikipedia.org/wiki/KK100
Makkah Royal Clock Tower,Saudi Arabia,Mecca,601,1972,200,120,2012,2.jpg,https://en.wikipedia.org/wiki/Abraj_Al_Bait
One World Trade Center,United States,New York City,541,1776,180,94,2014,3.jpg,https://en.wikipedia.org/wiki/One_World_Trade_Center
Petronas Twin Towers,Malaysia,Kuala Lumpur,452,1483,151,88,1998,7.jpg,https://en.wikipedia.org/wiki/Petronas_Towers
Shanghai World Financial Center,China,Shanghai,492,1614,164,101,2008,5.jpg,https://en.wikipedia.org/wiki/Shanghai_World_Financial_Center
Taipei 101,Taiwan,Taipei,508,1667,169,101,2004,4.jpg,https://en.wikipedia.org/wiki/Taipei_101
Willis Tower,United States,Chicago,442,1451,147,108,1974,9.jpg,https://en.wikipedia.org/wiki/Willis_Tower
Zifeng Tower,China,Nanjing,450,1476,150,66,2010,8.jpg,https://en.wikipedia.org/wiki/Zifeng_Tower
